timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/01/03 15:38:15.663, NVIDIA GeForce RTX 4090, 89 %, 86 %, 17847 MiB, 277.48 W
2026/01/03 15:38:19.597, NVIDIA GeForce RTX 4090, 84 %, 48 %, 17448 MiB, 310.71 W
2026/01/03 15:38:20.601, NVIDIA GeForce RTX 4090, 97 %, 40 %, 18008 MiB, 307.12 W
2026/01/03 15:38:21.604, NVIDIA GeForce RTX 4090, 95 %, 27 %, 18069 MiB, 276.70 W
2026/01/03 15:38:22.605, NVIDIA GeForce RTX 4090, 74 %, 71 %, 17457 MiB, 292.57 W
2026/01/03 15:38:23.610, NVIDIA GeForce RTX 4090, 93 %, 51 %, 18014 MiB, 304.52 W
2026/01/03 15:38:24.612, NVIDIA GeForce RTX 4090, 79 %, 77 %, 17460 MiB, 262.17 W
2026/01/03 15:38:25.617, NVIDIA GeForce RTX 4090, 88 %, 22 %, 18011 MiB, 256.74 W
2026/01/03 15:38:26.619, NVIDIA GeForce RTX 4090, 95 %, 35 %, 17951 MiB, 292.69 W
2026/01/03 15:38:27.621, NVIDIA GeForce RTX 4090, 91 %, 45 %, 17413 MiB, 284.07 W
2026/01/03 15:38:28.624, NVIDIA GeForce RTX 4090, 96 %, 44 %, 17462 MiB, 285.30 W
2026/01/03 15:38:29.627, NVIDIA GeForce RTX 4090, 69 %, 48 %, 17446 MiB, 285.05 W
2026/01/03 15:38:30.630, NVIDIA GeForce RTX 4090, 97 %, 37 %, 17403 MiB, 283.16 W
2026/01/03 15:38:31.632, NVIDIA GeForce RTX 4090, 94 %, 45 %, 17970 MiB, 281.08 W
2026/01/03 15:38:32.637, NVIDIA GeForce RTX 4090, 97 %, 37 %, 17720 MiB, 301.58 W
2026/01/03 15:38:33.640, NVIDIA GeForce RTX 4090, 96 %, 37 %, 17962 MiB, 282.52 W
2026/01/03 15:38:34.642, NVIDIA GeForce RTX 4090, 76 %, 73 %, 17455 MiB, 257.71 W
2026/01/03 15:38:35.647, NVIDIA GeForce RTX 4090, 97 %, 41 %, 17449 MiB, 292.84 W
2026/01/03 15:38:36.651, NVIDIA GeForce RTX 4090, 92 %, 61 %, 17447 MiB, 285.90 W
2026/01/03 15:38:37.656, NVIDIA GeForce RTX 4090, 97 %, 37 %, 17460 MiB, 288.18 W
2026/01/03 15:38:38.659, NVIDIA GeForce RTX 4090, 68 %, 39 %, 17469 MiB, 299.17 W
2026/01/03 15:38:39.661, NVIDIA GeForce RTX 4090, 95 %, 43 %, 17469 MiB, 292.22 W
2026/01/03 15:38:40.666, NVIDIA GeForce RTX 4090, 70 %, 52 %, 17463 MiB, 285.86 W
2026/01/03 15:38:41.669, NVIDIA GeForce RTX 4090, 95 %, 51 %, 17462 MiB, 288.40 W
2026/01/03 15:38:42.673, NVIDIA GeForce RTX 4090, 76 %, 26 %, 17858 MiB, 284.64 W
2026/01/03 15:38:43.675, NVIDIA GeForce RTX 4090, 71 %, 28 %, 17852 MiB, 289.65 W
2026/01/03 15:38:44.677, NVIDIA GeForce RTX 4090, 63 %, 3 %, 17880 MiB, 278.75 W
2026/01/03 15:38:45.679, NVIDIA GeForce RTX 4090, 74 %, 56 %, 17701 MiB, 295.21 W
2026/01/03 15:38:46.681, NVIDIA GeForce RTX 4090, 86 %, 11 %, 17856 MiB, 287.26 W
2026/01/03 15:38:47.684, NVIDIA GeForce RTX 4090, 59 %, 14 %, 17872 MiB, 286.89 W
2026/01/03 15:38:48.686, NVIDIA GeForce RTX 4090, 87 %, 12 %, 17850 MiB, 283.28 W
2026/01/03 15:38:49.688, NVIDIA GeForce RTX 4090, 76 %, 9 %, 17962 MiB, 295.85 W
2026/01/03 15:38:50.691, NVIDIA GeForce RTX 4090, 95 %, 31 %, 17959 MiB, 302.60 W
2026/01/03 15:38:54.649, NVIDIA GeForce RTX 4090, 83 %, 10 %, 17952 MiB, 293.85 W
2026/01/03 15:38:55.652, NVIDIA GeForce RTX 4090, 94 %, 15 %, 17852 MiB, 263.43 W
2026/01/03 15:38:56.653, NVIDIA GeForce RTX 4090, 90 %, 87 %, 17456 MiB, 306.08 W
2026/01/03 15:38:57.657, NVIDIA GeForce RTX 4090, 81 %, 54 %, 17974 MiB, 299.63 W
2026/01/03 15:38:58.660, NVIDIA GeForce RTX 4090, 96 %, 19 %, 17950 MiB, 286.11 W
